# RLC circuit analytic TF with f_res = 1.0 GHz, Q = 1000
#        Freq [GHz]     vRe []     vIm []
           0.999      0.060258898      -0.23796589
          0.9995       0.10317247      -0.30418401
               1       0.20855411       -0.4062749
          1.0005       0.52651477      -0.49929647
           1.001       0.99741124      0.050813958
          1.0015         0.475768       0.49941246
           1.002       0.19252603       0.39428386
          1.0025      0.097311009        0.2963808
           1.003      0.057651597       0.23308344
          1.0035      0.037880411       0.19090701
           1.004      0.026714212        0.1612469
          1.0045      0.019823259        0.1393926
           1.005      0.015282685       0.12267487
          1.0055      0.012136875        0.1094969
           1.006     0.0098694403      0.098853601
          1.0065      0.008182059      0.090083922
           1.007     0.0068928494      0.082736558
          1.0075     0.0058858935      0.076493462
           1.008     0.0050845227       0.07112433
          1.0085     0.0044364066      0.066458445
           1.009     0.0039048477      0.062366657
          1.0095     0.0034635003      0.058749506
            1.01     0.0030930569      0.055529181
          1.0105      0.002779109      0.052643951
           1.011     0.0025107283      0.050044226
          1.0115     0.0022795053      0.047689718
           1.012     0.0020788841      0.045547364
          1.0125     0.0019036928      0.043589778
           1.013     0.0017498074      0.041794085
          1.0135      0.001613907       0.04014103
           1.014     0.0014932934      0.038614291
          1.0145     0.0013857559      0.037199941
           1.015     0.0012894695      0.035886025
          1.0155     0.0012029169      0.034662225
           1.016     0.0011248279      0.033519587
          1.0165     0.0010541334      0.032450303
           1.017    0.00098992748      0.031447536
          1.0175    0.00093143919      0.030505272
           1.018    0.00087800863      0.029618199
          1.0185    0.00082906847      0.028781611
           1.019    0.00078412879      0.027991319
          1.0195     0.0007427647      0.027243586
            1.02     0.0007046063      0.026535068
          1.0205     0.0006693303      0.025862759
           1.021     0.0006366532      0.025223954
          1.0215    0.00060632552      0.024616212
           1.022    0.00057812702      0.024037321
          1.0225    0.00055186269      0.023485275
           1.023    0.00052735936       0.02295825
          1.0235    0.00050446281      0.022454584
           1.024    0.00048303536      0.021972757
          1.0245    0.00046295378       0.02151138
           1.025    0.00044410749      0.021069178
          1.0255    0.00042639704      0.020644981
           1.026    0.00040973281       0.02023771
          1.0265    0.00039403384      0.019846374
           1.027    0.00037922688      0.019470056
          1.0275    0.00036524547      0.019107906
           1.028    0.00035202925       0.01875914
          1.0285    0.00033952329      0.018423029
