#============================================================================================
#Generated by: Timothy Wendler
#ANSOFT                                                                              10/05/19
#Coupled e-Dipole TF (10mm from source)                                              12:12:31
#--------------------------------------------------------------------------------------------
#        Freq [GHz]   sqrt(eReal^2+eImag^2) []              eReal []              eImag []
#                                 Phase='0deg'          Phase='0deg'          Phase='0deg'
24.800000000000001         13.754222253159586     9.088188956218413   -10.323926156524950
24.809999999999999         13.766961352177628     9.038613140687701   -10.384252373923704
24.820000000000000         13.779685446528450     8.988648696702112   -10.444325043416802
24.829999999999998         13.792394461219716     8.938297679277110   -10.504141067717709
24.840000000000000         13.805089303743147     8.887561844072046   -10.563698933239159
24.850000000000001         13.817770009410150     8.836443304305433   -10.622995705673153
24.859999999999999         13.830436129752895     8.784942711462030   -10.682029072021120
24.870000000000001         13.843088670782940     8.733062483224048   -10.740797159022398
24.879999999999999         13.855727431992461     8.680804730363015   -10.799296824468502
24.890000000000001         13.868351810129628     8.628170286047867   -10.857525475193986
24.899999999999999         13.880963972408516     8.575161467097223   -10.915482885173438
24.910000000000000         13.893562655975025     8.521779909665856   -10.973165015013635
