#============================================================================================
#ANSOFT                                                                              01/17/20
#MaG Dipole 12mm TF                                                                  21:51:40
#
#--------------------------------------------------------------------------------------------
#        Freq [GHz]                eRe []                eIm []
#                            Phase='0deg'          Phase='0deg'
26.030000000000001     1.754833668205558   -25.986919484384064
26.039999999999999     1.595785221848633   -26.016976022723451
26.050000000000001     1.436426023628871   -26.046061643926809
26.059999999999999     1.276760142556222   -26.074178001545107
26.070000000000000     1.116794178095458   -26.101320170197123
26.079999999999998     0.956534014504375   -26.127487555597369
26.090000000000000     0.795986014200773   -26.152675723496312
26.100000000000001     0.635155551459336   -26.176882735696605
26.109999999999999     0.474048076702302   -26.200107818938974
26.120000000000001     0.312671374280622   -26.222343031282207
26.129999999999999     0.151029734484990   -26.243595236552235
26.140000000000001    -0.010870100790625   -26.263852762755437
26.149999999999999    -0.173023046133392   -26.283117020274663
26.160000000000000    -0.335422207357527   -26.301387110995609
26.170000000000002    -0.498061760525499   -26.318659114652810
26.180000000000000    -0.660935169308608   -26.334931061702477
26.190000000000001    -0.824037086503534   -26.350200766123436
26.199999999999999    -0.987361390035296   -26.364464418344809
26.210000000000001    -1.150900788120323   -26.377723853536136
26.219999999999999    -1.314650596242440   -26.389971690557822
26.230000000000000    -1.478603790209513   -26.401210923071758
26.239999999999998    -1.642755196579660   -26.411436260936295
26.250000000000000    -1.807098006484366   -26.420648467365925
26.260000000000002    -1.971625100410195   -26.428841213498814
26.270000000000000    -2.136331693586107   -26.436017195709514
26.280000000000001    -2.301211755303728   -26.442171407665509
26.289999999999999    -2.466257995264469   -26.447303029487749
26.300000000000001    -2.631463738527172   -26.451410512043637
26.309999999999999    -2.796824437513410   -26.454492353409940
26.320000000000000    -2.962332697186322   -26.456544065258736
26.329999999999998    -3.127982454240009   -26.457569329855549
26.340000000000000    -3.293767191389996   -26.457561153428472
26.350000000000001    -3.459680858889572   -26.456521434524063
26.359999999999999    -3.625718154602191   -26.454444937791212
26.370000000000001    -3.791871012753443   -26.451334681378984
26.379999999999999    -3.958132114036156   -26.447183449029556
26.390000000000001    -4.124498211926796   -26.441995244162115
26.399999999999999    -4.290961406746792   -26.435766437811175
26.410000000000000    -4.457515798846682   -26.428496877063953
26.420000000000002    -4.624153806935391   -26.420181047064780
26.430000000000000    -4.790869115378802   -26.410820889473360
26.440000000000001    -4.957656900643129   -26.400416730758639
26.449999999999999    -5.124509508801897   -26.388961818409758
26.460000000000001    -5.291420162919630   -26.376459936063341
26.469999999999999    -5.458383507346148   -26.362907839029361
26.480000000000000    -5.625392580738657   -26.348306784645711
26.489999999999998    -5.792440590834892   -26.332650954452888
26.500000000000000    -5.959521130478671   -26.315942233979964
26.510000000000002    -6.126628637206403   -26.298180143855355
26.520000000000000    -6.293754837589187   -26.279359930924311
26.530000000000001    -6.460894494158267   -26.259484958086961
26.539999999999999    -6.628040700453249   -26.238554470829545
26.550000000000001    -6.795186429357704   -26.216564122948636
26.559999999999999    -6.962327073533111   -26.193514432037411
26.570000000000000    -7.129453008312739   -26.169404946011433
26.579999999999998    -7.296560605886581   -26.144234589382222
26.590000000000000    -7.463640505055713   -26.118002718026531
26.600000000000001    -7.630688171706597   -26.090708264861615
26.609999999999999    -7.797696024307932   -26.062351902399438
26.620000000000001    -7.964657580744593   -26.032931041472441
26.629999999999999    -8.131567426299711   -26.002445059074933
26.640000000000001    -8.298416761043415   -25.970895739976701
26.649999999999999    -8.465201134561310   -25.938281691258908
26.660000000000000    -8.631911382263784   -25.904599685005376
26.670000000000002    -8.798543278816860   -25.869852640404773
26.680000000000000    -8.965088799980775   -25.834039400594481
