#        Freq [GHz]               zRe []               zIm []
2.6250e+01      4.4474e+02      -4.6748e-02
2.6260e+01      4.4467e+02      -4.5568e-02
2.6270e+01      4.4460e+02      -4.4365e-02
2.6280e+01      4.4453e+02      -4.3185e-02
2.6290e+01      4.4446e+02      -4.2057e-02
2.6300e+01      4.4440e+02      -4.0993e-02
2.6310e+01      4.4433e+02      -3.9841e-02
2.6320e+01      4.4426e+02      -3.8782e-02
2.6330e+01      4.4419e+02      -3.7700e-02
2.6340e+01      4.4412e+02      -3.6597e-02
2.6350e+01      4.4405e+02      -3.5592e-02
2.6360e+01      4.4398e+02      -3.4592e-02
2.6370e+01      4.4391e+02      -3.3548e-02
2.6380e+01      4.4385e+02      -3.2628e-02
2.6390e+01      4.4378e+02      -3.1658e-02
2.6400e+01      4.4371e+02      -3.0703e-02
2.6410e+01      4.4364e+02      -2.9802e-02
2.6420e+01      4.4357e+02      -2.8848e-02
2.6430e+01      4.4351e+02      -2.7956e-02
2.6440e+01      4.4344e+02      -2.7148e-02
2.6450e+01      4.4337e+02      -2.6239e-02
2.6460e+01      4.4330e+02      -2.5436e-02
2.6470e+01      4.4324e+02      -2.4650e-02
2.6480e+01      4.4317e+02      -2.3795e-02
2.6490e+01      4.4310e+02      -2.3010e-02
2.6500e+01      4.4303e+02      -2.2250e-02
2.6510e+01      4.4297e+02      -2.1528e-02
2.6520e+01      4.4290e+02      -2.0770e-02
2.6530e+01      4.4283e+02      -2.0060e-02
2.6540e+01      4.4277e+02      -1.9337e-02
2.6550e+01      4.4270e+02      -1.8623e-02
2.6560e+01      4.4263e+02      -1.7959e-02
2.6570e+01      4.4257e+02      -1.7289e-02
2.6580e+01      4.4250e+02      -1.6653e-02
2.6590e+01      4.4243e+02      -1.6044e-02
2.6600e+01      4.4237e+02      -1.5409e-02
2.6610e+01      4.4230e+02      -1.4757e-02
2.6620e+01      4.4224e+02      -1.4175e-02
2.6630e+01      4.4217e+02      -1.3599e-02
2.6640e+01      4.4211e+02      -1.3028e-02
2.6650e+01      4.4204e+02      -1.2448e-02
2.6660e+01      4.4197e+02      -1.1879e-02
2.6670e+01      4.4191e+02      -1.1333e-02
2.6680e+01      4.4184e+02      -1.0804e-02
2.6690e+01      4.4178e+02      -1.0287e-02
2.6700e+01      4.4171e+02      -9.7562e-03
2.6710e+01      4.4165e+02      -9.2728e-03
2.6720e+01      4.4158e+02      -8.7670e-03
2.6730e+01      4.4152e+02      -8.2934e-03
2.6740e+01      4.4145e+02      -7.8066e-03
2.6750e+01      4.4139e+02      -7.3562e-03
2.6760e+01      4.4132e+02      -6.9105e-03
2.6770e+01      4.4126e+02      -6.4136e-03
2.6780e+01      4.4120e+02      -6.0242e-03
2.6790e+01      4.4113e+02      -5.6046e-03
2.6800e+01      4.4107e+02      -5.1327e-03
2.6810e+01      4.4100e+02      -4.7031e-03
2.6820e+01      4.4094e+02      -4.2708e-03
2.6830e+01      4.4088e+02      -3.8980e-03
2.6840e+01      4.4081e+02      -3.5106e-03
2.6850e+01      4.4075e+02      -3.1380e-03
2.6860e+01      4.4069e+02      -2.7605e-03
2.6870e+01      4.4062e+02      -2.3210e-03
2.6880e+01      4.4056e+02      -1.9699e-03
2.6890e+01      4.4050e+02      -1.6078e-03
2.6900e+01      4.4044e+02      -1.2121e-03
2.6910e+01      4.4037e+02      -8.8388e-04
2.6920e+01      4.4031e+02      -5.2336e-04
2.6930e+01      4.4025e+02      -1.7974e-04
2.6940e+01      4.4018e+02      1.4938e-04
2.6950e+01      4.4012e+02      5.0798e-04
2.6960e+01      4.4006e+02      8.2795e-04
2.6970e+01      4.4000e+02      1.1551e-03
2.6980e+01      4.3994e+02      1.4890e-03
2.6990e+01      4.3987e+02      1.8098e-03
2.7000e+01      4.3981e+02      2.1661e-03
2.7010e+01      4.3975e+02      2.4573e-03
2.7020e+01      4.3969e+02      2.7707e-03
2.7030e+01      4.3963e+02      3.0546e-03
2.7040e+01      4.3956e+02      3.3577e-03
2.7050e+01      4.3950e+02      3.6719e-03
2.7060e+01      4.3944e+02      3.9734e-03
2.7070e+01      4.3938e+02      4.2306e-03
2.7080e+01      4.3932e+02      4.5630e-03
2.7090e+01      4.3926e+02      4.8515e-03
2.7100e+01      4.3920e+02      5.1349e-03
2.7110e+01      4.3914e+02      5.3768e-03
2.7120e+01      4.3908e+02      5.7019e-03
2.7130e+01      4.3902e+02      5.9404e-03
2.7140e+01      4.3896e+02      6.2671e-03
2.7150e+01      4.3890e+02      6.5122e-03
2.7160e+01      4.3884e+02      6.7729e-03
2.7170e+01      4.3878e+02      7.0524e-03
2.7180e+01      4.3872e+02      7.3207e-03
2.7190e+01      4.3866e+02      7.5800e-03
2.7200e+01      4.3860e+02      7.8737e-03
2.7210e+01      4.3854e+02      8.0877e-03
2.7220e+01      4.3848e+02      8.3898e-03
2.7230e+01      4.3842e+02      8.6367e-03
2.7240e+01      4.3836e+02      8.9165e-03
2.7250e+01      4.3830e+02      9.1725e-03
2.7260e+01      4.3824e+02      9.4407e-03
2.7270e+01      4.3818e+02      9.6635e-03
2.7280e+01      4.3812e+02      9.9257e-03
2.7290e+01      4.3806e+02      1.0196e-02
2.7300e+01      4.3800e+02      1.0442e-02
2.7310e+01      4.3794e+02      1.0719e-02
2.7320e+01      4.3789e+02      1.0974e-02
2.7330e+01      4.3783e+02      1.1215e-02
2.7340e+01      4.3777e+02      1.1461e-02
2.7350e+01      4.3771e+02      1.1714e-02
2.7360e+01      4.3765e+02      1.1939e-02
2.7370e+01      4.3759e+02      1.2213e-02
2.7380e+01      4.3754e+02      1.2465e-02
2.7390e+01      4.3748e+02      1.2729e-02
2.7400e+01      4.3742e+02      1.2964e-02
2.7410e+01      4.3736e+02      1.3230e-02
2.7420e+01      4.3731e+02      1.3506e-02
2.7430e+01      4.3725e+02      1.3703e-02
2.7440e+01      4.3719e+02      1.3977e-02
2.7450e+01      4.3713e+02      1.4270e-02
2.7460e+01      4.3708e+02      1.4502e-02
2.7470e+01      4.3702e+02      1.4783e-02
2.7480e+01      4.3696e+02      1.5007e-02
2.7490e+01      4.3690e+02      1.5248e-02
2.7500e+01      4.3685e+02      1.5532e-02
2.7510e+01      4.3679e+02      1.5798e-02
2.7520e+01      4.3673e+02      1.6048e-02
2.7530e+01      4.3668e+02      1.6294e-02
2.7540e+01      4.3662e+02      1.6567e-02
2.7550e+01      4.3656e+02      1.6817e-02
2.7560e+01      4.3651e+02      1.7069e-02
2.7570e+01      4.3645e+02      1.7347e-02
2.7580e+01      4.3640e+02      1.7616e-02
2.7590e+01      4.3634e+02      1.7884e-02
2.7600e+01      4.3628e+02      1.8182e-02
2.7610e+01      4.3623e+02      1.8429e-02
2.7620e+01      4.3617e+02      1.8687e-02
2.7630e+01      4.3612e+02      1.8992e-02
2.7640e+01      4.3606e+02      1.9263e-02
2.7650e+01      4.3601e+02      1.9569e-02
2.7660e+01      4.3595e+02      1.9837e-02
2.7670e+01      4.3589e+02      2.0101e-02
2.7680e+01      4.3584e+02      2.0407e-02
2.7690e+01      4.3579e+02      2.0647e-02
2.7700e+01      4.3573e+02      2.0970e-02
2.7710e+01      4.3568e+02      2.1264e-02
2.7720e+01      4.3562e+02      2.1544e-02
2.7730e+01      4.3556e+02      2.1843e-02
2.7740e+01      4.3551e+02      2.2138e-02
2.7750e+01      4.3546e+02      2.2430e-02
2.7760e+01      4.3540e+02      2.2759e-02
2.7770e+01      4.3535e+02      2.3065e-02
2.7780e+01      4.3529e+02      2.3366e-02
2.7790e+01      4.3524e+02      2.3669e-02
2.7800e+01      4.3518e+02      2.3990e-02
2.7810e+01      4.3513e+02      2.4331e-02
2.7820e+01      4.3508e+02      2.4634e-02
2.7830e+01      4.3502e+02      2.4983e-02
2.7840e+01      4.3497e+02      2.5293e-02
2.7850e+01      4.3492e+02      2.5656e-02
2.7860e+01      4.3486e+02      2.5972e-02
2.7870e+01      4.3481e+02      2.6319e-02
2.7880e+01      4.3475e+02      2.6653e-02
2.7890e+01      4.3470e+02      2.7052e-02
2.7900e+01      4.3465e+02      2.7349e-02
2.7910e+01      4.3459e+02      2.7731e-02
2.7920e+01      4.3454e+02      2.8076e-02
2.7930e+01      4.3449e+02      2.8454e-02
2.7940e+01      4.3444e+02      2.8826e-02
2.7950e+01      4.3438e+02      2.9210e-02
2.7960e+01      4.3433e+02      2.9576e-02
2.7970e+01      4.3428e+02      2.9945e-02
2.7980e+01      4.3422e+02      3.0347e-02
2.7990e+01      4.3417e+02      3.0746e-02
2.8000e+01      4.3412e+02      3.1177e-02
