# RLC circuit analytic TF with f_res = 26.0 GHz, Q = 1000
#        Freq [GHz]     vRe []     vIm []
          26.507     0.0007427647      0.027243586
           26.52     0.0007046063      0.026535068
          26.533     0.0006693303      0.025862759
          26.546     0.0006366532      0.025223954
          26.559    0.00060632552      0.024616212
          26.572    0.00057812702      0.024037321
          26.585    0.00055186269      0.023485275
          26.598    0.00052735936       0.02295825
          26.611    0.00050446281      0.022454584
          26.624    0.00048303536      0.021972757
          26.637    0.00046295378       0.02151138
           26.65    0.00044410749      0.021069178
          26.663    0.00042639704      0.020644981
          26.676    0.00040973281       0.02023771
          26.689    0.00039403384      0.019846374
          26.702    0.00037922688      0.019470056
          26.715    0.00036524547      0.019107906
          26.728    0.00035202925       0.01875914
          26.741    0.00033952329      0.018423029
          26.754    0.00032767749      0.018098898
          26.767    0.00031644608      0.017786117
           26.78    0.00030578724      0.017484099
          26.793    0.00029566259        0.0171923
          26.806    0.00028603697      0.016910209
          26.819    0.00027687803      0.016637349
          26.832    0.00026815603      0.016373275
          26.845    0.00025984353      0.016117568
          26.858    0.00025191525      0.015869839
          26.871    0.00024434781      0.015629719
          26.884    0.00023711958      0.015396862
          26.897    0.00023021055      0.015170944
           26.91    0.00022360214       0.01495166
          26.923    0.00021727712      0.014738722
          26.936    0.00021121948      0.014531857
          26.949    0.00020541432       0.01433081
          26.962    0.00019984775      0.014135339
          26.975    0.00019450685      0.013945215
          26.988    0.00018937955      0.013760221
          27.001    0.00018445457      0.013580153
          27.014    0.00017972139      0.013404816
          27.027    0.00017517014      0.013234026
           27.04    0.00017079158      0.013067609
          27.053    0.00016657707      0.012905399
          27.066    0.00016251849      0.012747238
          27.079    0.00015860822      0.012592977
          27.092    0.00015483909      0.012442472
          27.105    0.00015120437      0.012295589
          27.118    0.00014769773      0.012152198
          27.131     0.0001443132      0.012012176
          27.144    0.00014104515      0.011875406
          27.157    0.00013788829      0.011741775
           27.17    0.00013483761      0.011611177
          27.183    0.00013188839       0.01148351
          27.196    0.00012903616      0.011358676
          27.209     0.0001262767      0.011236581
          27.222    0.00012360602      0.011117137
          27.235    0.00012102033      0.011000259
          27.248    0.00011851606      0.010885863
          27.261    0.00011608981      0.010773873
          27.274    0.00011373835      0.010664212
          27.287    0.00011145864      0.010556809
            27.3    0.00010924778      0.010451595
          27.313    0.00010710301      0.010348504
          27.326    0.00010502171      0.010247472
          27.339    0.00010300139      0.010148438
          27.352    0.00010103969      0.010051342
          27.365    9.9134348e-05     0.0099561298
          27.378    9.7283219e-05     0.0098627458
          27.391    9.5484256e-05     0.0097711381
          27.404    9.3735511e-05     0.0096812564
          27.417    9.2035124e-05     0.0095930524
           27.43    9.0381322e-05     0.0095064795
          27.443     8.877241e-05     0.0094214929
          27.456    8.7206772e-05     0.0093380494
          27.469    8.5682863e-05     0.0092561073
